code,name,latest_date,close,ma5,prev_ma5,distance_pct,technical_score,hot_score,logic_score,total_score,top_concept,top_heat,concepts,matched_keywords,logic_reason
600105,永鼎股份,2026-06-30,67.48,67.598,66.6,-0.175,96.51,100.0,85.0,95.43,光通信模块,649,光通信模块(649); 超导概念(282); 大数据(218); 数据中心(68); 专精特新(24),"超导, 大数据",matched hot concept in core business/product text
002475,立讯精密,2026-06-30,70.4,70.634,70.426,-0.331,93.37,100.0,80.0,93.02,光通信模块,815,光通信模块(815); 苹果概念(771); 数据中心(758); 智能穿戴(535); 液冷概念(382),数据中心,matched hot concept in core business/product text
002008,大族激光,2026-06-30,150.11,149.522,148.522,0.393,92.13,100.0,80.0,92.46,PCB,377,PCB(377); 半导体概念(283); 光刻机(胶)(157); 3D打印(37); OLED(35),半导体,matched hot concept in core business/product text
002185,华天科技,2026-06-30,22.31,22.034,21.48,1.253,74.95,100.0,45.0,77.73,半导体概念,3140,半导体概念(3140); 存储芯片(315); 华为概念(83); 人工智能(62); 氮化镓(55),半导体,matched hot concept in business scope text
002384,东山精密,2026-06-30,262.35,261.038,259.572,0.503,89.95,100.0,0.0,75.48,光通信模块,1341,光通信模块(1341); PCB(1145); 苹果概念(94); 特斯拉(61); 5G概念(23),,no business-text match
002156,通富微电,2026-06-30,75.87,74.5,73.01,1.839,63.22,100.0,45.0,72.45,半导体概念,2087,半导体概念(2087); 存储芯片(219); 碳化硅(158); 第三代半导体(55); CPO概念(40),半导体,matched hot concept in business scope text
002579,中京电子,2026-06-30,21.68,21.124,20.768,2.632,47.36,100.0,80.0,72.31,PCB,1404,PCB(1404); 半导体概念(747); 光通信模块(523); 存储芯片(250); 商业航天(210),PCB,matched hot concept in core business/product text
000066,中国长城,2026-06-30,19.05,19.216,18.96,-0.864,82.72,100.0,0.0,72.23,信创,903,信创(903); 大数据(217); 中字头(215); 中特估(215); 商业航天(212),,no business-text match
600584,长电科技,2026-06-30,103.55,101.312,97.82,2.209,55.82,100.0,45.0,69.12,半导体概念,4953,半导体概念(4953); 存储芯片(604); 中芯概念(215); 苹果概念(210); 长江三角(145),半导体,matched hot concept in business scope text
002167,东方锆业,2026-06-30,22.07,21.584,21.072,2.252,54.97,91.67,45.0,65.82,固态电池,275,固态电池(275); 稀土永磁(203); 小金属概念(189); 核能核电(134); 新材料(77),新材料,matched hot concept in business scope text
